"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"488","BAIAP2L1","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1","protein-coding gene","ENSG00000006453","protein_coding","chr7:98291650-98401090","17","0.23","yes","yes","no","1","-","no","no","no","-3","no","yes","Q9UHR4","1","-0.06","ENSMUSG00000038859","chr5:144264526-144358112","Baiap2l1","3","no","gene with protein product","55971"
"489","PCNX1","PCNX1","pecanex 1","protein-coding gene","ENSG00000100731","protein_coding","chr14:70907405-71115382","17","0.23","yes","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000021140","chr12:81860023-82000924","Pcnx","-1","no","gene with protein product","22990"
"490","NAT9","NAT9","N-acetyltransferase 9","protein-coding gene","ENSG00000109065","protein_coding","chr17:74770529-74776367","17","0.23","no","yes","no","2","-","no","no","no","2","no","no","Q9BTE0","0","-0.27","ENSMUSG00000015542","chr11:115182832-115187859","Nat9","11","yes","gene with protein product","26151"
"491","MT-ND3","MT-ND3","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3","protein-coding gene","ENSG00000198840","protein_coding","chrM:10059-10404","17","0.23","yes","no","no","2","-","no","no","no","-1","no","no","P03897","0","-0.01","ENSMUSG00000064360","chrMT:9459-9806","mt-Nd3","0","no","gene with protein product","4537"
"492","BAIAP2","BAIAP2","BAR/IMD domain containing adaptor protein 2","protein-coding gene","ENSG00000175866","protein_coding","chr17:81035122-81117432","17","0.21","yes","no","no","4","G1/S","no","no","no","3","no","yes","Q9UQB8","1","-0.06","ENSMUSG00000025372","chr11:119942763-120006782","Baiap2","8","yes","gene with protein product","10458"
"493","S100A10","S100A10","S100 calcium binding protein A10","protein-coding gene","ENSG00000197747","protein_coding","chr1:151982915-151993859","17","0.21","yes","yes","no","3","G1/S","no","no","no","5","no","yes","P60903","3","0.63","ENSMUSG00000041959","chr3:93555080-93564643","S100a10","2","no","gene with protein product","6281"
"494","CIAO2B","CIAO2B","cytosolic iron-sulfur assembly component 2B","protein-coding gene","ENSG00000166595","protein_coding","chr16:66932065-66934423","17","0.2","yes","no","no","2","-","no","no","no","2","no","no","Q9Y3D0","1","0.09","ENSMUSG00000031879","chr8:104639838-104641965","Fam96b","1","no","gene with protein product","51647"
"495","DYNC1H1","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","protein-coding gene","ENSG00000197102","protein_coding","chr14:101964573-102056443","17","0.19","yes","no","no","1","-","no","no","no","0","no","no","Q14204","0","0.14","ENSMUSG00000018707","chr12:110601452-110666945","Dync1h1","1","no","gene with protein product","1778"
"496","TKT","TKT","transketolase","protein-coding gene","ENSG00000163931","protein_coding","chr3:53224712-53256052","17","0.18","no","yes","no","2","-","no","no","no","2","no","no","P29401","3","0.28","ENSMUSG00000021957","chr14:30548359-30574720","Tkt","1","no","gene with protein product","7086"
"497","ZC3HAV1","ZC3HAV1","zinc finger CCCH-type containing, antiviral 1","protein-coding gene","ENSG00000105939","protein_coding","chr7:139043515-139109720","17","0.17","yes","yes","no","3","G1/S","no","no","no","-2","no","no","Q7Z2W4","0","0.06","ENSMUSG00000029826","chr6:38305286-38354603","Zc3hav1","-4","no","gene with protein product","56829"
"498","YIPF3","YIPF3","Yip1 domain family member 3","protein-coding gene","ENSG00000137207","protein_coding","chr6:43511832-43516985","17","0.17","no","yes","no","2","-","no","no","no","-6","no","no","Q9GZM5","3","0.30","ENSMUSG00000071074","chr17:46248080-46252537","Yipf3","10","no","gene with protein product","25844"
"499","FXYD3","FXYD3","FXYD domain containing ion transport regulator 3","protein-coding gene","ENSG00000089356","protein_coding","chr19:35115879-35124324","16","1.5","no","yes","no","0","-","no","no","no","-4","no","yes","Q14802","1","0.71","-","-","-","-","-","gene with protein product","5349"
"500","ZBBX","ZBBX","zinc finger B-box domain containing","protein-coding gene","ENSG00000169064","protein_coding","chr3:167239843-167407874","16","1.18","yes","no","no","0","-","no","no","no","-","-","-","-","-","-","ENSMUSG00000034151","chr3:75037907-75165034","Zbbx","0","no","gene with protein product","79740"
"501","DOCK8-AS1","DOCK8-AS1","DOCK8 antisense RNA 1","non-coding RNA","ENSG00000183784","lncRNA","chr9:212824-215893","16","1.04","yes","no","no","1","-","no","no","no","-1","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","157983"
"502","TG","TG","thyroglobulin","protein-coding gene","ENSG00000042832","protein_coding","chr8:132866958-133134903","16","0.92","yes","yes","no","1","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000053469","chr15:66670753-66850721","Tg","2","no","gene with protein product","7038"
"503","CHADL","CHADL","chondroadherin like","protein-coding gene","ENSG00000100399","protein_coding","chr22:41229510-41240931","16","0.83","yes","no","no","0","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000063765","chr15:81678296-81697287","Chadl","0","no","gene with protein product","150356"
"504","PLB1","PLB1","phospholipase B1","protein-coding gene","ENSG00000163803","protein_coding","chr2:28457145-28644142","16","0.82","yes","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000029134","chr5:32232708-32366520","Plb1","4","no","gene with protein product","151056"
"505","F2RL2","F2RL2","coagulation factor II thrombin receptor like 2","protein-coding gene","ENSG00000164220","protein_coding","chr5:76615482-76623413","16","0.67","no","yes","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000021675","chr13:95696853-95702739","F2rl2","0","no","gene with protein product","2151"
"506","IRF6","IRF6","interferon regulatory factor 6","protein-coding gene","ENSG00000117595","protein_coding","chr1:209785617-209806175","16","0.49","no","yes","no","2","-","no","no","no","10","yes","yes","O14896","1","0.23","ENSMUSG00000026638","chr1:193153111-193172023","Irf6","7","no","gene with protein product","3664"
"507","MERTK","MERTK","MER proto-oncogene, tyrosine kinase","protein-coding gene","ENSG00000153208","protein_coding","chr2:111898607-112029561","16","0.4","no","yes","no","3","G2/M","no","no","no","3","no","yes","-","-","-","ENSMUSG00000014361","chr2:128698956-128802894","Mertk","4","no","gene with protein product","10461"
"508","CELF2","CELF2","CUGBP Elav-like family member 2","protein-coding gene","ENSG00000048740","protein_coding","chr10:10798397-11336675","16","0.39","yes","yes","no","1","-","no","no","no","0","no","no","O95319","0","-0.06","ENSMUSG00000002107","chr2:6539694-7509563","Celf2","-5","no","gene with protein product","10659"
"509","TSPAN9","TSPAN9","tetraspanin 9","protein-coding gene","ENSG00000011105","protein_coding","chr12:3077355-3286564","16","0.28","yes","yes","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000030352","chr6:127961396-128143594","Tspan9","2","no","gene with protein product","10867"
"510","SSH1","SSH1","slingshot protein phosphatase 1","protein-coding gene","ENSG00000084112","protein_coding","chr12:108778191-108857590","16","0.26","no","yes","no","2","-","no","no","no","6","no","yes","Q8WYL5","2","0.44","ENSMUSG00000042121","chr5:113937094-113993894","Ssh1","-5","no","gene with protein product","54434"
"511","CORO2A","CORO2A","coronin 2A","protein-coding gene","ENSG00000106789","protein_coding","chr9:98120975-98192637","16","0.26","no","yes","no","2","-","no","no","no","5","no","yes","Q92828","0","0.10","ENSMUSG00000028337","chr4:46536937-46602202","Coro2a","6","no","gene with protein product","7464"
"512","CCDC69","CCDC69","coiled-coil domain containing 69","protein-coding gene","ENSG00000198624","protein_coding","chr5:151181052-151224093","16","0.26","yes","no","no","0","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000049588","chr11:55049731-55078131","Ccdc69","-1","no","gene with protein product","26112"
"513","ZNF160","ZNF160","zinc finger protein 160","protein-coding gene","ENSG00000170949","protein_coding","chr19:53066606-53103436","16","0.25","no","yes","no","2","-","no","no","no","-2","no","no","-","-","-","-","-","-","-","-","gene with protein product","90338"
"514","APBB2","APBB2","amyloid beta precursor protein binding family B member 2","protein-coding gene","ENSG00000163697","protein_coding","chr4:40810027-41216714","16","0.24","no","yes","no","3","G2/M","no","no","no","-1","no","no","Q92870","2","0.33","ENSMUSG00000029207","chr5:66298703-66618784","Apbb2","2","no","gene with protein product","323"
"515","AJUBA","AJUBA","ajuba LIM protein","protein-coding gene","ENSG00000129474","protein_coding","chr14:22971177-22982551","16","0.23","yes","yes","no","1","-","no","no","no","7","no","yes","Q96IF1","1","0.60","ENSMUSG00000022178","chr14:54567472-54577558","Ajuba","0","no","gene with protein product","84962"
"516","THSD4","THSD4","thrombospondin type 1 domain containing 4","protein-coding gene","ENSG00000187720","protein_coding","chr15:71096952-71783383","16","0.23","yes","no","no","1","-","no","no","no","3","no","yes","-","-","-","ENSMUSG00000032289","chr9:59966931-60522046","Thsd4","0","no","gene with protein product","79875"
"517","SPRYD7","SPRYD7","SPRY domain containing 7","protein-coding gene","ENSG00000123178","protein_coding","chr13:49912702-49936490","16","0.22","yes","no","no","2","-","no","no","no","2","no","no","Q5W111","2","0.11","ENSMUSG00000021930","chr14:61531993-61556886","Spryd7","-1","no","gene with protein product","57213"
"518","ETNK1","ETNK1","ethanolamine kinase 1","protein-coding gene","ENSG00000139163","protein_coding","chr12:22625075-22690665","16","0.22","yes","no","no","2","-","no","no","no","-2","no","no","Q9HBU6","-1","-0.24","ENSMUSG00000030275","chr6:143167221-143232307","Etnk1","4","no","gene with protein product","55500"
"519","FZD6","FZD6","frizzled class receptor 6","protein-coding gene","ENSG00000164930","protein_coding","chr8:103298433-103332866","16","0.22","no","yes","no","1","-","no","no","no","5","no","yes","O60353","2","0.46","ENSMUSG00000022297","chr15:39006034-39038188","Fzd6","1","no","gene with protein product","8323"
"520","SNX19","SNX19","sorting nexin 19","protein-coding gene","ENSG00000120451","protein_coding","chr11:130866250-130916479","16","0.2","yes","no","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000031993","chr9:30427108-30466733","Snx19","1","no","gene with protein product","399979"
"521","RGS5","RGS5","regulator of G protein signaling 5","protein-coding gene","ENSG00000143248","protein_coding","chr1:163111121-163321791","16","0.2","yes","no","no","1","-","no","no","no","-3","no","no","-","-","-","ENSMUSG00000026678","chr1:169655501-169695813","Rgs5","6","yes","gene with protein product","8490"
"522","GOLIM4","GOLIM4","golgi integral membrane protein 4","protein-coding gene","ENSG00000173905","protein_coding","chr3:168008689-168095924","16","0.2","yes","no","no","3","G1/S","no","no","no","7","no","yes","O00461","2","0.09","ENSMUSG00000034109","chr3:75875084-75956949","Golim4","-1","no","gene with protein product","27333"
"523","HYAL3","HYAL3","hyaluronidase 3","protein-coding gene","ENSG00000186792","protein_coding","chr3:50292831-50299405","16","0.19","no","yes","no","2","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000036091","chr9:107580818-107587359","Hyal3","4","no","gene with protein product","8372"
"524","FAM120B","FAM120B","family with sequence similarity 120 member B","protein-coding gene","ENSG00000112584","protein_coding","chr6:170290703-170407067","16","0.18","yes","yes","no","1","-","no","no","no","-1","no","no","Q96EK7","3","0.26","ENSMUSG00000014763","chr17:15396202-15433583","Fam120b","1","no","gene with protein product","84498"
"525","SBF1","SBF1","SET binding factor 1","protein-coding gene","ENSG00000100241","protein_coding","chr22:50445000-50475035","16","0.17","yes","no","no","1","-","no","no","no","2","no","no","O95248","0","0.12","ENSMUSG00000036529","chr15:89288236-89315311","Sbf1","1","no","gene with protein product","6305"
"526","ERCC1","ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit","protein-coding gene","ENSG00000012061","protein_coding","chr19:45407334-45478828","16","0.15","yes","yes","no","1","-","no","no","no","4","no","yes","P07992","-1","-0.13","ENSMUSG00000003549","chr7:19344778-19356524","Ercc1","4","no","gene with protein product","2067"
"527","SMAD3","SMAD3","SMAD family member 3","protein-coding gene","ENSG00000166949","protein_coding","chr15:67063763-67195169","16","0.14","yes","yes","no","4","G2/M","no","yes","no","1","no","no","P84022","1","0.09","ENSMUSG00000032402","chr9:63646767-63757994","Smad3","4","no","gene with protein product","4088"
"528","GIT1","GIT1","GIT ArfGAP 1","protein-coding gene","ENSG00000108262","protein_coding","chr17:29573475-29594054","16","0.12","yes","yes","no","2","-","no","no","no","6","no","yes","Q9Y2X7","3","0.39","ENSMUSG00000011877","chr11:77493562-77507786","Git1","2","no","gene with protein product","28964"
"529","CDK18","CDK18","cyclin dependent kinase 18","protein-coding gene","ENSG00000117266","protein_coding","chr1:205504596-205532793","16","0.11","no","yes","no","1","-","no","no","no","3","no","yes","Q07002","2","0.72","ENSMUSG00000026437","chr1:132112237-132139684","Cdk18","10","no","gene with protein product","5129"
"530","SIGLEC14","SIGLEC14","sialic acid binding Ig like lectin 14","protein-coding gene","ENSG00000254415","protein_coding","chr19:51642553-51646801","15","2.35","yes","no","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","gene with protein product","100049587"
"531","IRAG2","IRAG2","inositol 1,4,5-triphosphate receptor associated 2","protein-coding gene","ENSG00000118308","protein_coding","chr12:25004342-25108334","15","1.35","yes","yes","no","0","-","no","no","no","3","no","yes","-","-","-","ENSMUSG00000030263","chr6:145115653-145174934","Lrmp","-1","no","gene with protein product","4033"
"532","LNCAROD","LNCAROD","lncRNA activating regulator of DKK1","non-coding RNA","ENSG00000231131","lncRNA","chr10:52450874-52755507","15","0.84","no","yes","no","1","-","no","no","no","-1","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","101928687"
"533","MST1P2","MST1P2","macrophage stimulating 1 pseudogene 2","pseudogene","ENSG00000186301","unprocessed_pseudogene","chr1:16645622-16650289","15","0.54","yes","no","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","pseudogene","11209"
"534","PHOSPHO1","PHOSPHO1","phosphoethanolamine/phosphocholine phosphatase 1","protein-coding gene","ENSG00000173868","protein_coding","chr17:49223366-49230787","15","0.51","yes","no","no","0","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000050860","chr11:95824499-95832140","Phospho1","-1","no","gene with protein product","162466"
"535","COL9A2","COL9A2","collagen type IX alpha 2 chain","protein-coding gene","ENSG00000049089","protein_coding","chr1:40300489-40317813","15","0.48","yes","yes","no","1","-","no","no","no","-4","no","yes","-","-","-","ENSMUSG00000028626","chr4:121039385-121055322","Col9a2","2","no","gene with protein product","1298"
"536","CASP1","CASP1","caspase 1","protein-coding gene","ENSG00000137752","protein_coding","chr11:105025443-105035250","15","0.47","yes","no","no","1","-","no","no","no","9","no","no","P29466","1","1.44","ENSMUSG00000025888","chr9:5298508-5307290","Casp1","0","no","gene with protein product","834"
"537","FBN2","FBN2","fibrillin 2","protein-coding gene","ENSG00000138829","protein_coding","chr5:128257909-128659185","15","0.37","yes","yes","no","2","-","no","no","no","5","no","yes","P35556","1","0.35","ENSMUSG00000024598","chr18:58008623-58210487","Fbn2","-5","no","gene with protein product","2201"
